N = ,1, n = ,4, Step = ,0, Prob(rr) = ,0.238, Prob(fr) = ,0.877, Prob(sr) = ,0.163,Random Number (%) = ,0.147705
N = ,2, n = ,8, Step = ,3, Prob(rr) = ,0.201, Prob(fr) = ,0.881, Prob(sr) = ,0.16,Random Number (%) Submit Rating = ,0.589447
N = ,2, n = ,8, Step = ,4, Prob(rr) = ,0.201, Prob(fr) = ,0.881, Prob(sr) = ,0.16,Random Number (%) = ,0.698883
N = ,2, n = ,8, Step = ,5, Prob(rr) = ,0.201, Prob(fr) = ,0.881, Prob(sr) = ,0.16,Random Number (%) = ,0.156525
N = ,2, n = ,8, Step = ,5, Prob(rr) = ,0.201, Prob(fr) = ,0.881, Prob(sr) = ,0.16,Random Number (%) Follow Recommendation = ,0.786041
N = ,2, n = ,8, Step = ,5, Prob(rr) = ,0.201, Prob(fr) = ,0.881, Prob(sr) = ,0.16,Random Number (%) Submit Rating = ,0.37912
N = ,2, n = ,8, Step = ,6, Prob(rr) = ,0.201, Prob(fr) = ,0.881, Prob(sr) = ,0.16,Random Number (%) = ,0.403534
N = ,2, n = ,8, Step = ,7, Prob(rr) = ,0.201, Prob(fr) = ,0.881, Prob(sr) = ,0.16,Random Number (%) = ,0.42984
N = ,3, n = ,10, Step = ,0, Prob(rr) = ,0.215, Prob(fr) = ,0.875, Prob(sr) = ,0.15,Random Number (%) = ,0.01886
N = ,3, n = ,10, Step = ,0, Prob(rr) = ,0.215, Prob(fr) = ,0.875, Prob(sr) = ,0.15,Random Number (%) Follow Recommendation = ,0.096436
N = ,3, n = ,10, Step = ,0, Prob(rr) = ,0.215, Prob(fr) = ,0.875, Prob(sr) = ,0.15,Random Number (%) Submit Rating = ,0.666168
N = ,3, n = ,10, Step = ,1, Prob(rr) = ,0.215, Prob(fr) = ,0.875, Prob(sr) = ,0.15,Random Number (%) = ,0.593689
N = ,3, n = ,10, Step = ,2, Prob(rr) = ,0.215, Prob(fr) = ,0.875, Prob(sr) = ,0.15,Random Number (%) = ,0.974213
N = ,3, n = ,10, Step = ,3, Prob(rr) = ,0.215, Prob(fr) = ,0.875, Prob(sr) = ,0.15,Random Number (%) = ,0.935608
N = ,3, n = ,10, Step = ,4, Prob(rr) = ,0.215, Prob(fr) = ,0.875, Prob(sr) = ,0.15,Random Number (%) = ,0.597076
N = ,3, n = ,10, Step = ,5, Prob(rr) = ,0.215, Prob(fr) = ,0.875, Prob(sr) = ,0.15,Random Number (%) = ,0.013275
N = ,3, n = ,10, Step = ,5, Prob(rr) = ,0.215, Prob(fr) = ,0.875, Prob(sr) = ,0.15,Random Number (%) Follow Recommendation = ,0.735168
N = ,3, n = ,10, Step = ,5, Prob(rr) = ,0.215, Prob(fr) = ,0.875, Prob(sr) = ,0.15,Random Number (%) Submit Rating = ,0.009003
N = ,3, n = ,10, Step = ,5, Prob(rr) = ,0.215, Prob(fr) = ,0.875, Prob(sr) = ,0.15,Random Number (%) Follow Recommendation = ,0.773407
N = ,3, n = ,10, Step = ,6, Prob(rr) = ,0.215, Prob(fr) = ,0.875, Prob(sr) = ,0.15,Random Number (%) = ,0.570526
N = ,3, n = ,10, Step = ,7, Prob(rr) = ,0.215, Prob(fr) = ,0.875, Prob(sr) = ,0.15,Random Number (%) = ,0.917847
N = ,3, n = ,10, Step = ,8, Prob(rr) = ,0.215, Prob(fr) = ,0.875, Prob(sr) = ,0.15,Random Number (%) = ,0.392853
N = ,3, n = ,10, Step = ,9, Prob(rr) = ,0.215, Prob(fr) = ,0.875, Prob(sr) = ,0.15,Random Number (%) = ,0.282867
N = ,4, n = ,13, Step = ,0, Prob(rr) = ,0.229, Prob(fr) = ,0.865, Prob(sr) = ,0.154,Random Number (%) = ,0.60022
N = ,4, n = ,13, Step = ,1, Prob(rr) = ,0.229, Prob(fr) = ,0.865, Prob(sr) = ,0.154,Random Number (%) = ,0.634583
N = ,4, n = ,13, Step = ,2, Prob(rr) = ,0.229, Prob(fr) = ,0.865, Prob(sr) = ,0.154,Random Number (%) = ,0.190063
N = ,4, n = ,13, Step = ,2, Prob(rr) = ,0.229, Prob(fr) = ,0.865, Prob(sr) = ,0.154,Random Number (%) Follow Recommendation = ,0.882782
N = ,4, n = ,13, Step = ,3, Prob(rr) = ,0.229, Prob(fr) = ,0.865, Prob(sr) = ,0.154,Random Number (%) = ,0.362671
N = ,4, n = ,13, Step = ,4, Prob(rr) = ,0.229, Prob(fr) = ,0.865, Prob(sr) = ,0.154,Random Number (%) = ,0.050446
N = ,4, n = ,13, Step = ,4, Prob(rr) = ,0.229, Prob(fr) = ,0.865, Prob(sr) = ,0.154,Random Number (%) Follow Recommendation = ,0.910309
N = ,4, n = ,13, Step = ,5, Prob(rr) = ,0.229, Prob(fr) = ,0.865, Prob(sr) = ,0.154,Random Number (%) = ,0.40683
N = ,4, n = ,13, Step = ,6, Prob(rr) = ,0.229, Prob(fr) = ,0.865, Prob(sr) = ,0.154,Random Number (%) = ,0.266418
N = ,4, n = ,13, Step = ,7, Prob(rr) = ,0.229, Prob(fr) = ,0.865, Prob(sr) = ,0.154,Random Number (%) = ,0.216888
N = ,4, n = ,13, Step = ,7, Prob(rr) = ,0.229, Prob(fr) = ,0.865, Prob(sr) = ,0.154,Random Number (%) Follow Recommendation = ,0.237976
N = ,4, n = ,13, Step = ,7, Prob(rr) = ,0.229, Prob(fr) = ,0.865, Prob(sr) = ,0.154,Random Number (%) Submit Rating = ,0.117004
N = ,4, n = ,13, Step = ,7, Prob(rr) = ,0.229, Prob(fr) = ,0.865, Prob(sr) = ,0.154,Random Number (%) Follow Recommendation = ,0.895721
N = ,4, n = ,13, Step = ,8, Prob(rr) = ,0.229, Prob(fr) = ,0.865, Prob(sr) = ,0.154,Random Number (%) = ,0.801666
N = ,4, n = ,13, Step = ,9, Prob(rr) = ,0.229, Prob(fr) = ,0.865, Prob(sr) = ,0.154,Random Number (%) = ,0.59967
N = ,4, n = ,13, Step = ,10, Prob(rr) = ,0.229, Prob(fr) = ,0.865, Prob(sr) = ,0.154,Random Number (%) = ,0.994293
N = ,4, n = ,13, Step = ,11, Prob(rr) = ,0.229, Prob(fr) = ,0.865, Prob(sr) = ,0.154,Random Number (%) = ,0.75946
N = ,4, n = ,13, Step = ,12, Prob(rr) = ,0.229, Prob(fr) = ,0.865, Prob(sr) = ,0.154,Random Number (%) = ,0.502319
N = ,5, n = ,9, Step = ,0, Prob(rr) = ,0.22, Prob(fr) = ,0.871, Prob(sr) = ,0.172,Random Number (%) = ,0.857513
N = ,5, n = ,9, Step = ,1, Prob(rr) = ,0.22, Prob(fr) = ,0.871, Prob(sr) = ,0.172,Random Number (%) = ,0.48938
N = ,5, n = ,9, Step = ,2, Prob(rr) = ,0.22, Prob(fr) = ,0.871, Prob(sr) = ,0.172,Random Number (%) = ,0.735657
N = ,5, n = ,9, Step = ,3, Prob(rr) = ,0.22, Prob(fr) = ,0.871, Prob(sr) = ,0.172,Random Number (%) = ,0.666199
N = ,5, n = ,9, Step = ,4, Prob(rr) = ,0.22, Prob(fr) = ,0.871, Prob(sr) = ,0.172,Random Number (%) = ,0.54953
N = ,5, n = ,9, Step = ,5, Prob(rr) = ,0.22, Prob(fr) = ,0.871, Prob(sr) = ,0.172,Random Number (%) = ,0.477386
N = ,5, n = ,9, Step = ,6, Prob(rr) = ,0.22, Prob(fr) = ,0.871, Prob(sr) = ,0.172,Random Number (%) = ,0.752502
N = ,5, n = ,9, Step = ,7, Prob(rr) = ,0.22, Prob(fr) = ,0.871, Prob(sr) = ,0.172,Random Number (%) = ,0.534515
N = ,5, n = ,9, Step = ,8, Prob(rr) = ,0.22, Prob(fr) = ,0.871, Prob(sr) = ,0.172,Random Number (%) = ,0.288513
N = ,6, n = ,19, Step = ,0, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.860291
N = ,6, n = ,19, Step = ,1, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.211761
N = ,6, n = ,19, Step = ,1, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) Follow Recommendation = ,0.663452
N = ,6, n = ,19, Step = ,1, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) Submit Rating = ,0.843658
N = ,6, n = ,19, Step = ,2, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.554993
N = ,6, n = ,19, Step = ,3, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.736176
N = ,6, n = ,19, Step = ,4, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.658813
N = ,6, n = ,19, Step = ,5, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.198273
N = ,6, n = ,19, Step = ,5, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) Follow Recommendation = ,0.149902
N = ,6, n = ,19, Step = ,5, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) Submit Rating = ,0.678986
N = ,6, n = ,19, Step = ,6, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.914886
N = ,6, n = ,19, Step = ,7, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.762238
N = ,6, n = ,19, Step = ,8, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.178894
N = ,6, n = ,19, Step = ,8, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) Follow Recommendation = ,0.861694
N = ,6, n = ,19, Step = ,8, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) Submit Rating = ,0.755585
N = ,6, n = ,19, Step = ,9, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.07309
N = ,6, n = ,19, Step = ,9, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) Follow Recommendation = ,0.039551
N = ,6, n = ,19, Step = ,9, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) Submit Rating = ,0.718231
N = ,6, n = ,19, Step = ,10, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.41272
N = ,6, n = ,19, Step = ,11, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.358337
N = ,6, n = ,19, Step = ,12, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.132202
N = ,6, n = ,19, Step = ,12, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) Follow Recommendation = ,0.758087
N = ,6, n = ,19, Step = ,12, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) Submit Rating = ,0.046478
N = ,6, n = ,19, Step = ,12, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) Follow Recommendation = ,0.093658
N = ,6, n = ,19, Step = ,13, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.454468
N = ,6, n = ,19, Step = ,14, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.875977
N = ,6, n = ,19, Step = ,15, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.614319
N = ,6, n = ,19, Step = ,16, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.061707
N = ,6, n = ,19, Step = ,16, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) Follow Recommendation = ,0.094574
N = ,6, n = ,19, Step = ,16, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) Submit Rating = ,0.120026
N = ,6, n = ,19, Step = ,16, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) Follow Recommendation = ,0.05191
N = ,6, n = ,19, Step = ,17, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.172577
N = ,6, n = ,19, Step = ,17, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) Follow Recommendation = ,0.687195
N = ,6, n = ,19, Step = ,17, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) Submit Rating = ,0.167572
N = ,6, n = ,19, Step = ,17, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) Follow Recommendation = ,0.671936
N = ,6, n = ,19, Step = ,18, Prob(rr) = ,0.22, Prob(fr) = ,0.863, Prob(sr) = ,0.181,Random Number (%) = ,0.258484
N = ,7, n = ,8, Step = ,0, Prob(rr) = ,0.209, Prob(fr) = ,0.866, Prob(sr) = ,0.153,Random Number (%) = ,0.52301
N = ,7, n = ,8, Step = ,1, Prob(rr) = ,0.209, Prob(fr) = ,0.866, Prob(sr) = ,0.153,Random Number (%) = ,0.596924
N = ,7, n = ,8, Step = ,2, Prob(rr) = ,0.209, Prob(fr) = ,0.866, Prob(sr) = ,0.153,Random Number (%) = ,0.028198
N = ,7, n = ,8, Step = ,2, Prob(rr) = ,0.209, Prob(fr) = ,0.866, Prob(sr) = ,0.153,Random Number (%) Follow Recommendation = ,0.620148
N = ,7, n = ,8, Step = ,2, Prob(rr) = ,0.209, Prob(fr) = ,0.866, Prob(sr) = ,0.153,Random Number (%) Submit Rating = ,0.361755
N = ,7, n = ,8, Step = ,3, Prob(rr) = ,0.209, Prob(fr) = ,0.866, Prob(sr) = ,0.153,Random Number (%) = ,0.022675
N = ,7, n = ,8, Step = ,3, Prob(rr) = ,0.209, Prob(fr) = ,0.866, Prob(sr) = ,0.153,Random Number (%) Follow Recommendation = ,0.927124
N = ,7, n = ,8, Step = ,4, Prob(rr) = ,0.209, Prob(fr) = ,0.866, Prob(sr) = ,0.153,Random Number (%) = ,0.657288
N = ,7, n = ,8, Step = ,5, Prob(rr) = ,0.209, Prob(fr) = ,0.866, Prob(sr) = ,0.153,Random Number (%) = ,0.898254
N = ,7, n = ,8, Step = ,6, Prob(rr) = ,0.209, Prob(fr) = ,0.866, Prob(sr) = ,0.153,Random Number (%) = ,0.589722
N = ,7, n = ,8, Step = ,7, Prob(rr) = ,0.209, Prob(fr) = ,0.866, Prob(sr) = ,0.153,Random Number (%) = ,0.602295
N = ,8, n = ,10, Step = ,0, Prob(rr) = ,0.223, Prob(fr) = ,0.887, Prob(sr) = ,0.165,Random Number (%) = ,0.171906
N = ,8, n = ,10, Step = ,0, Prob(rr) = ,0.223, Prob(fr) = ,0.887, Prob(sr) = ,0.165,Random Number (%) Follow Recommendation = ,0.57489
N = ,8, n = ,10, Step = ,0, Prob(rr) = ,0.223, Prob(fr) = ,0.887, Prob(sr) = ,0.165,Random Number (%) Submit Rating = ,0.091827
N = ,8, n = ,10, Step = ,0, Prob(rr) = ,0.223, Prob(fr) = ,0.887, Prob(sr) = ,0.165,Random Number (%) Follow Recommendation = ,0.945129
N = ,8, n = ,10, Step = ,1, Prob(rr) = ,0.223, Prob(fr) = ,0.887, Prob(sr) = ,0.165,Random Number (%) = ,0.490509
N = ,8, n = ,10, Step = ,2, Prob(rr) = ,0.223, Prob(fr) = ,0.887, Prob(sr) = ,0.165,Random Number (%) = ,0.416718
N = ,8, n = ,10, Step = ,3, Prob(rr) = ,0.223, Prob(fr) = ,0.887, Prob(sr) = ,0.165,Random Number (%) = ,0.640778
N = ,8, n = ,10, Step = ,4, Prob(rr) = ,0.223, Prob(fr) = ,0.887, Prob(sr) = ,0.165,Random Number (%) = ,0.122498
N = ,8, n = ,10, Step = ,4, Prob(rr) = ,0.223, Prob(fr) = ,0.887, Prob(sr) = ,0.165,Random Number (%) Follow Recommendation = ,0.329926
N = ,8, n = ,10, Step = ,4, Prob(rr) = ,0.223, Prob(fr) = ,0.887, Prob(sr) = ,0.165,Random Number (%) Submit Rating = ,0.318237
N = ,8, n = ,10, Step = ,5, Prob(rr) = ,0.223, Prob(fr) = ,0.887, Prob(sr) = ,0.165,Random Number (%) = ,0.325531
N = ,8, n = ,10, Step = ,6, Prob(rr) = ,0.223, Prob(fr) = ,0.887, Prob(sr) = ,0.165,Random Number (%) = ,0.89505
N = ,8, n = ,10, Step = ,7, Prob(rr) = ,0.223, Prob(fr) = ,0.887, Prob(sr) = ,0.165,Random Number (%) = ,0.643097
N = ,8, n = ,10, Step = ,8, Prob(rr) = ,0.223, Prob(fr) = ,0.887, Prob(sr) = ,0.165,Random Number (%) = ,0.046722
N = ,8, n = ,10, Step = ,8, Prob(rr) = ,0.223, Prob(fr) = ,0.887, Prob(sr) = ,0.165,Random Number (%) Follow Recommendation = ,0.838531
N = ,8, n = ,10, Step = ,8, Prob(rr) = ,0.223, Prob(fr) = ,0.887, Prob(sr) = ,0.165,Random Number (%) Submit Rating = ,0.035309
N = ,8, n = ,10, Step = ,8, Prob(rr) = ,0.223, Prob(fr) = ,0.887, Prob(sr) = ,0.165,Random Number (%) Follow Recommendation = ,0.60614
N = ,8, n = ,10, Step = ,9, Prob(rr) = ,0.223, Prob(fr) = ,0.887, Prob(sr) = ,0.165,Random Number (%) = ,0.756134
N = ,9, n = ,13, Step = ,0, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) = ,0.910126
N = ,9, n = ,13, Step = ,1, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) = ,0.128632
N = ,9, n = ,13, Step = ,1, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) Follow Recommendation = ,0.592407
N = ,9, n = ,13, Step = ,1, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) Submit Rating = ,0.502777
N = ,9, n = ,13, Step = ,2, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) = ,0.333466
N = ,9, n = ,13, Step = ,3, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) = ,0.187134
N = ,9, n = ,13, Step = ,3, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) Follow Recommendation = ,0.019379
N = ,9, n = ,13, Step = ,3, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) Submit Rating = ,0.479401
N = ,9, n = ,13, Step = ,4, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) = ,0.154114
N = ,9, n = ,13, Step = ,4, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) Follow Recommendation = ,0.00592
N = ,9, n = ,13, Step = ,4, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) Submit Rating = ,0.977692
N = ,9, n = ,13, Step = ,5, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) = ,0.962738
N = ,9, n = ,13, Step = ,6, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) = ,0.931824
N = ,9, n = ,13, Step = ,7, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) = ,0.211884
N = ,9, n = ,13, Step = ,8, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) = ,0.720978
N = ,9, n = ,13, Step = ,9, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) = ,0.718414
N = ,9, n = ,13, Step = ,10, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) = ,0.283905
N = ,9, n = ,13, Step = ,11, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) = ,0.361359
N = ,9, n = ,13, Step = ,12, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) = ,0.19342
N = ,9, n = ,13, Step = ,12, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) Follow Recommendation = ,0.242706
N = ,9, n = ,13, Step = ,12, Prob(rr) = ,0.199, Prob(fr) = ,0.871, Prob(sr) = ,0.156,Random Number (%) Submit Rating = ,0.9245
N = ,10, n = ,7, Step = ,0, Prob(rr) = ,0.2, Prob(fr) = ,0.876, Prob(sr) = ,0.158,Random Number (%) = ,0.494843
N = ,10, n = ,7, Step = ,1, Prob(rr) = ,0.2, Prob(fr) = ,0.876, Prob(sr) = ,0.158,Random Number (%) = ,0.518921
N = ,10, n = ,7, Step = ,2, Prob(rr) = ,0.2, Prob(fr) = ,0.876, Prob(sr) = ,0.158,Random Number (%) = ,0.618469
N = ,10, n = ,7, Step = ,3, Prob(rr) = ,0.2, Prob(fr) = ,0.876, Prob(sr) = ,0.158,Random Number (%) = ,0.487305
N = ,10, n = ,7, Step = ,4, Prob(rr) = ,0.2, Prob(fr) = ,0.876, Prob(sr) = ,0.158,Random Number (%) = ,0.134277
N = ,10, n = ,7, Step = ,4, Prob(rr) = ,0.2, Prob(fr) = ,0.876, Prob(sr) = ,0.158,Random Number (%) Follow Recommendation = ,0.917877
N = ,10, n = ,7, Step = ,5, Prob(rr) = ,0.2, Prob(fr) = ,0.876, Prob(sr) = ,0.158,Random Number (%) = ,0.439453
N = ,10, n = ,7, Step = ,6, Prob(rr) = ,0.2, Prob(fr) = ,0.876, Prob(sr) = ,0.158,Random Number (%) = ,0.059326
N = ,10, n = ,7, Step = ,6, Prob(rr) = ,0.2, Prob(fr) = ,0.876, Prob(sr) = ,0.158,Random Number (%) Follow Recommendation = ,0.775116
N = ,10, n = ,7, Step = ,6, Prob(rr) = ,0.2, Prob(fr) = ,0.876, Prob(sr) = ,0.158,Random Number (%) Submit Rating = ,0.54892
N = ,11, n = ,2, Step = ,0, Prob(rr) = ,0.194, Prob(fr) = ,0.867, Prob(sr) = ,0.189,Random Number (%) = ,0.054138
N = ,11, n = ,2, Step = ,0, Prob(rr) = ,0.194, Prob(fr) = ,0.867, Prob(sr) = ,0.189,Random Number (%) Follow Recommendation = ,0.064148
N = ,11, n = ,2, Step = ,0, Prob(rr) = ,0.194, Prob(fr) = ,0.867, Prob(sr) = ,0.189,Random Number (%) Submit Rating = ,0.477264
N = ,11, n = ,2, Step = ,1, Prob(rr) = ,0.194, Prob(fr) = ,0.867, Prob(sr) = ,0.189,Random Number (%) = ,0.059113
N = ,11, n = ,2, Step = ,1, Prob(rr) = ,0.194, Prob(fr) = ,0.867, Prob(sr) = ,0.189,Random Number (%) Follow Recommendation = ,0.653076
N = ,11, n = ,2, Step = ,1, Prob(rr) = ,0.194, Prob(fr) = ,0.867, Prob(sr) = ,0.189,Random Number (%) Submit Rating = ,0.096924
N = ,11, n = ,2, Step = ,1, Prob(rr) = ,0.194, Prob(fr) = ,0.867, Prob(sr) = ,0.189,Random Number (%) Follow Recommendation = ,0.134644
N = ,12, n = ,19, Step = ,0, Prob(rr) = ,0.221, Prob(fr) = ,0.877, Prob(sr) = ,0.142,Random Number (%) = ,0.366119
N = ,12, n = ,19, Step = ,1, Prob(rr) = ,0.221, Prob(fr) = ,0.877, Prob(sr) = ,0.142,Random Number (%) = ,0.001373
N = ,12, n = ,19, Step = ,1, Prob(rr) = ,0.221, Prob(fr) = ,0.877, Prob(sr) = ,0.142,Random Number (%) Follow Recommendation = ,0.639191
N = ,12, n = ,19, Step = ,1, Prob(rr) = ,0.221, Prob(fr) = ,0.877, Prob(sr) = ,0.142,Random Number (%) Submit Rating = ,0.85791
N = ,12, n = ,19, Step = ,2, Prob(rr) = ,0.221, Prob(fr) = ,0.877, Prob(sr) = ,0.142,Random Number (%) = ,0.926941
N = ,12, n = ,19, Step = ,3, Prob(rr) = ,0.221, Prob(fr) = ,0.877, Prob(sr) = ,0.142,Random Number (%) = ,0.634338
N = ,12, n = ,19, Step = ,4, Prob(rr) = ,0.221, Prob(fr) = ,0.877, Prob(sr) = ,0.142,Random Number (%) = ,0.808502
N = ,12, n = ,19, Step = ,5, Prob(rr) = ,0.221, Prob(fr) = ,0.877, Prob(sr) = ,0.142,Random Number (%) = ,0.580261
N = ,12, n = ,19, Step = ,6, Prob(rr) = ,0.221, Prob(fr) = ,0.877, Prob(sr) = ,0.142,Random Number (%) = ,0.709137
N = ,12, n = ,19, Step = ,7, Prob(rr) = ,0.221, Prob(fr) = ,0.877, Prob(sr) = ,0.142,Random Number (%) = ,0.28244
N = ,12, n = ,19, Step = ,8, Prob(rr) = ,0.221, Prob(fr) = ,0.877, Prob(sr) = ,0.142,Random Number (%) = ,0.597504
N = ,12, n = ,19, Step = ,9, Prob(rr) = ,0.221, Prob(fr) = ,0.877, Prob(sr) = ,0.142,Random Number (%) = ,0.363953
